City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,sao benedito do rio preto,-3.3336,-43.5283,24.18,94,100,1.58,BR,1703811144
177,hithadhoo,-0.6,73.0833,27.87,78,100,2.71,MV,1703811356
178,chonchi,-42.6128,-73.8092,10.54,97,81,0.61,CL,1703811357
179,raduzhny,62.0961,77.475,-10.2,97,100,2.87,RU,1703811357
180,hakha,22.65,93.6167,7.63,95,8,0.3,MM,1703811357
181,qulsary,46.9531,54.0198,-2.57,77,100,10.46,KZ,1703811357
182,thunder bay,48.4001,-89.3168,0.95,80,0,3.6,CA,1703811149
183,coquimbo,-29.9533,-71.3436,16.86,85,98,1.9,CL,1703811358
184,puerto madryn,-42.7692,-65.0385,13.39,61,5,9.12,AR,1703811358
185,zinder,13.8072,8.9881,15.32,27,0,4.37,NE,1703811358
186,mount pearl,47.5166,-52.7813,-2.04,75,6,2.24,CA,1703811358
187,hermanus,-34.4187,19.2345,19.89,82,100,5.35,ZA,1703811359
188,ekuvukeni,-28.4675,30.1551,14.72,93,100,0.89,ZA,1703811359
189,kuressaare,58.2481,22.5039,3.34,99,100,3.09,EE,1703811359
190,thompson,55.7435,-97.8558,-8.91,92,20,0.0,CA,1703811359
191,inirida,3.8653,-67.9239,25.0,91,100,0.97,CO,1703811359
192,brunico,46.7958,11.9364,2.84,81,92,0.31,IT,1703811360
193,happy valley-goose bay,53.3168,-60.3315,-7.83,62,75,2.57,CA,1703811360
194,susuman,62.7833,148.1667,-35.27,100,99,1.06,RU,1703811360
195,nar'yan-mar,67.6713,53.087,-17.72,97,50,3.58,RU,1703811360
196,kiruna,67.8557,20.2251,-22.49,77,100,0.0,SE,1703811361
197,isangel,-19.55,169.2667,29.47,61,3,3.78,VU,1703811361
198,manta,-0.95,-80.7333,26.88,83,75,0.0,EC,1703811361
199,shingu,33.7333,135.9833,12.05,54,0,2.01,JP,1703811361
200,vilyuchinsk,52.9306,158.4028,-8.37,84,100,2.76,RU,1703811361
201,indaiatuba,-23.0903,-47.2181,26.3,61,0,4.63,BR,1703811362
202,bel ombre,-4.6167,55.4167,26.91,89,20,1.54,SC,1703811362
203,ceres,37.5949,-120.9577,17.87,71,0,2.06,US,1703811362
204,dolores,-36.3132,-57.6792,19.04,96,94,4.59,AR,1703811362
205,mahanoro,-19.9,48.8,23.54,90,100,1.57,MG,1703811363
206,askoy,60.4092,5.226,4.16,100,100,6.17,NO,1703811363
207,north bend,43.4065,-124.2243,13.48,91,100,2.83,US,1703811363
208,naze,28.3667,129.4833,18.51,73,94,3.86,JP,1703811363
209,hilo,19.7297,-155.09,26.25,69,0,5.22,US,1703811319
210,pacora,9.0833,-79.2833,26.99,100,40,0.0,PA,1703811299
211,solcava,46.4194,14.6936,6.5,94,100,1.67,SI,1703811364
212,meadow lakes,61.6247,-149.6011,-16.53,84,100,0.0,US,1703811364
213,praia da vitoria,38.7333,-27.0667,12.14,94,40,2.52,PT,1703811364
214,wesley,15.5667,-61.3167,21.74,100,20,2.06,DM,1703811365
215,tisul',55.7611,88.3122,-7.93,94,95,2.14,RU,1703811365
216,tome acu,-2.4189,-48.1522,24.25,96,72,1.45,BR,1703811365
217,yaring,6.8662,101.3689,28.49,86,45,4.54,TH,1703811365
218,sotkamo,64.1333,28.4167,-6.99,99,100,1.26,FI,1703811366
219,kutum,14.2,24.6667,12.32,35,14,2.95,SD,1703811366
220,fort stockton,30.894,-102.8793,10.03,40,0,0.0,US,1703811366
221,uige,-7.6087,15.0613,19.89,99,99,1.01,AO,1703811366
222,kurumkan,54.3,110.3,-17.71,84,94,1.79,RU,1703811366
223,montpon-menesterol,45.0,0.1667,8.52,83,87,2.1,FR,1703811367
224,tabou,4.423,-7.3528,26.81,82,3,1.98,CI,1703811367
225,ust-nera,64.5667,143.2,-36.11,100,100,1.31,RU,1703811367
226,pasuquin,18.3328,120.6177,27.27,69,0,4.68,PH,1703811367
227,tataouine,32.9297,10.4518,12.07,65,100,0.8,TN,1703811368
228,utrik,11.2278,169.8474,27.32,77,80,7.92,MH,1703811368
229,severo-yeniseyskiy,60.3725,93.0408,-13.01,98,100,0.89,RU,1703811368
230,egilsstadir,65.2653,-14.3948,-12.53,96,100,1.76,IS,1703811368
231,carloforte,39.145,8.3058,12.38,84,100,1.6,IT,1703811369
232,key west,24.5557,-81.7826,20.56,91,0,0.0,US,1703811369
233,arno,60.1167,18.6333,-0.12,97,100,2.74,SE,1703811369
234,aasiaat,68.7098,-52.8699,-17.12,89,86,0.3,GL,1703811369
235,borskoye,53.0333,51.7167,-10.52,93,100,6.02,RU,1703811370
236,atherton,53.5237,-2.4935,8.83,63,100,4.02,GB,1703811370
237,cole harbour,44.6724,-63.4751,3.73,91,100,3.58,CA,1703811370
238,sarangani,5.4033,125.4636,28.09,79,71,8.68,PH,1703811370
239,belmonte,-15.8631,-38.8828,25.32,86,19,2.78,BR,1703811142
240,lihue,21.9789,-159.3672,26.58,94,100,4.63,US,1703811371
241,qaqortoq,60.7167,-46.0333,-11.5,67,65,3.95,GL,1703811371
242,klyuchi,52.2667,79.1667,-1.34,79,100,9.62,RU,1703811371
243,kerikeri,-35.2268,173.9474,24.39,89,100,0.89,NZ,1703811095
244,buka,40.8108,69.1986,8.13,56,100,3.04,UZ,1703811372
245,flin flon,54.7682,-101.865,-7.41,94,21,1.64,CA,1703811372
246,kristiansund,63.1115,7.732,3.36,60,40,4.12,NO,1703811372
247,basoko,1.2391,23.616,23.91,77,100,0.73,CD,1703811372
